sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Figure of merit Z
5919,10.1002/aelm.201600019,2133,3(c),3209,x=0.03,(SnTe)0.97(Cu2Te)0.03,850,,,,,,,,,1.7091,,,
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,300,,,,,0.029766,1.2057,,,5.9339,,,
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,350,,0.016072,62.22,5.31e-8,0.027545,1.0037,0,0.000018766,5.5262,0.0055712,,0
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,400,,0.019228,52.007,5.6e-8,0.025324,0.91458,0,0.000022843,5.0851,0.0083264,,0
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,450,,0.023109,43.273,5.89e-8,0.023104,0.87667,0,0.000028265,4.6257,0.015652,,0
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,500,,0.027729,36.063,6.18e-8,0.020883,0.85168,0,0.000035171,4.164,0.029673,,0
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,550,,0.033553,29.804,6.47e-8,0.018662,0.82007,1e-10,0.000043884,3.7143,0.054371,,0
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,600,,0.041436,24.134,6.76e-8,0.016441,0.77642,1e-10,0.000054836,3.2869,0.095686,,0
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,650,,0.052564,19.024,7.05e-8,0.01422,0.7248,2e-10,0.000068493,2.8863,0.16161,,1e-10
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,700,,0.068397,14.621,7.34e-8,0.011999,0.67422,5e-10,0.000085279,2.5089,0.26226,,2e-10
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,750,,0.090607,11.037,7.63e-8,0.0097783,0.63393,1e-9,0.0001055,2.1405,0.41004,,5e-10
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,800,,0.12102,8.2631,7.92e-8,0.0075574,0.6089,2e-9,0.00012926,1.7544,0.61963,,1.2e-9
5919,10.1002/aelm.201600019,2133,3(c),3210,x=0.04,(SnTe)0.96(Cu2Te)0.04,850,,,,,,,,,1.3093,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,300,,,,,,,,,4.9125,,,
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,350,,0.020556,48.648,3.93e-8,0.015423,1.0184,0,0.000017144,4.6822,0.018293,,0
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,400,,0.024224,41.281,3.91e-8,0.014174,0.91244,0,0.000019589,4.3337,0.010662,,0
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,450,,0.029555,33.835,3.88e-8,0.012925,0.86079,0,0.000023203,3.9535,0.010787,,0
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,500,,0.036161,27.654,3.86e-8,0.011676,0.82939,0,0.00002876,3.5842,0.028537,,0
