sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Electronic thermal conductivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
1653,10.1016/j.jallcom.2010.03.170,17340,3,20832,x=0.90,Ag0.9Sb1.1Te2.1,650,,24292,0.000041166,,,,,1.5976,0.00025617,0.73472,1.435,,2.1744337979
1653,10.1016/j.jallcom.2010.03.170,17340,3,20833,x=0.93,Ag0.93Sb1.07Te2.07,350,,17154,0.000058295,,,,,1.1926,0.00026249,0.84081,0.50686,,1.4183941675
1653,10.1016/j.jallcom.2010.03.170,17340,3,20833,x=0.93,Ag0.93Sb1.07Te2.07,400,,17677,0.000056571,,,,,1.2207,0.00026195,0.82806,0.61262,,1.4741685385
1653,10.1016/j.jallcom.2010.03.170,17340,3,20833,x=0.93,Ag0.93Sb1.07Te2.07,450,,18200,0.000054945,,,,,1.2487,0.0002614,0.81531,0.71838,,1.5315646809
1653,10.1016/j.jallcom.2010.03.170,17340,3,20833,x=0.93,Ag0.93Sb1.07Te2.07,500,,18723,0.00005341,,,,,1.2767,0.00026086,0.80256,0.82414,,1.5907844896
1653,10.1016/j.jallcom.2010.03.170,17340,3,20833,x=0.93,Ag0.93Sb1.07Te2.07,550,,19245,0.000051962,,,,,1.3047,0.00026032,0.78981,0.9299,,1.6519162837
1653,10.1016/j.jallcom.2010.03.170,17340,3,20833,x=0.93,Ag0.93Sb1.07Te2.07,600,,19768,0.000050587,,,,,1.3328,0.00025978,0.77706,1.0357,,1.7151828688
1653,10.1016/j.jallcom.2010.03.170,17340,3,20833,x=0.93,Ag0.93Sb1.07Te2.07,650,,20291,0.000049283,,,,,1.3608,0.00025923,0.76431,1.1414,,1.7804294069
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20834,x=0_y=0,AgSbTe2,350,,14204,0.000070403,,,,,0.0010458,0.00027134,0.5642,0.63984,,0.001853598
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20834,x=0_y=0,AgSbTe2,400,,14121,0.000070817,,,,,0.0010473,0.00027234,0.56349,0.73742,,0.0018585955
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20834,x=0_y=0,AgSbTe2,450,,14038,0.000071235,,,,,0.0010488,0.00027334,0.56278,0.83499,,0.0018636057
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20834,x=0_y=0,AgSbTe2,500,,13955,0.000071659,,,,,0.0010502,0.00027433,0.56207,0.93257,,0.0018684505
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20834,x=0_y=0,AgSbTe2,550,,13872,0.000072088,,,,,0.0010516,0.00027533,0.56136,1.0301,,0.0018733077
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20834,x=0_y=0,AgSbTe2,600,,13789,0.000072522,,,,,0.0010529,0.00027633,0.56065,1.1277,,0.0018779988
1676,10.1016/j.jallcom.2010.10.131,17347,7(a),20834,x=0_y=0,AgSbTe2,650,,,,,,,,,,0.55994,1.2253,,
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20835,x=0.01_y=0,Na0.01Ag0.99SbTe2,350,,12930,0.00007734,,,,,0.0010301,0.00028226,0.54272,0.68982,,0.0018980321
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20835,x=0.01_y=0,Na0.01Ag0.99SbTe2,400,,13461,0.000074289,,,,,0.0010541,0.00027984,0.55567,0.77986,,0.0018969892
