sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,550,,,101830,0.00000982,0.0027767,-0.00016513,1.5731,0.97081,0.0017651135
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,600,,,83773,0.000011937,0.0027393,-0.00018083,1.4184,1.1588,0.0019312606
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,650,,,68885,0.000014517,0.0026315,-0.00019545,1.2937,1.3222,0.0020340883
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,700,,,56475,0.000017707,0.002444,-0.00020803,1.2049,1.4199,0.0020283841
860,10.1039/c1ee01314a,88,2,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,750,,,46305,0.000021596,0.002173,-0.00021663,1.1581,1.4073,0.0018763492
860,10.1039/c1ee01314a,51,7,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,800,,,,,,,1.1535,,
860,10.1039/c1ee01314a,8,3,5,Pb1Te0.9988I0.0012,Pb1Te0.9988I0.0012,300,,,382730,0.0000026128,,,,,
860,10.1039/c1ee01314a,88,2,34,Pb1Te0.996I0.004,Pb1Te0.996I0.004,350,,,601140,0.0000016635,0.00097917,-0.000040359,4.51,0.075989,0.0002171109
860,10.1039/c1ee01314a,88,2,34,Pb1Te0.996I0.004,Pb1Te0.996I0.004,400,,,459090,0.0000021782,0.001272,-0.000052638,3.8979,0.13053,0.0003263296
860,10.1039/c1ee01314a,88,2,34,Pb1Te0.996I0.004,Pb1Te0.996I0.004,450,,,362310,0.0000027601,0.0016486,-0.000067456,3.4166,0.21714,0.0004825265
