sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,500,,18439,,0.0011747,-0.00024695,0.96222,0.71514,0.0000542329,0.0012208227
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,550,,19181,,0.001308,-0.00025749,0.93963,0.86042,0.0000521349,0.0013920373
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,600,,19923,,0.0014413,-0.00026804,0.91703,1.0057,0.0000501932,0.0015717043
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,650,,20665,,0.0015746,-0.00027859,0.89443,1.151,0.000048391,0.0017604508
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,700,,21407,,0.001708,-0.00028913,0.87184,1.2963,0.0000467137,0.0019590751
21294,10.1073/pnas.1711725114,19701,FS1(a),24317,Mg3.1V0.1Sb1.5Bi0.49Te0.01,Mg3.1V0.1Sb1.5Bi0.49Te0.01,750,,22149,,0.0018413,-0.00029968,0.84924,1.4416,0.0000451488,0.0021681739
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,350,,15475,,0.00083441,-0.00022749,0.99807,0.30485,0.0000646204,0.0008360235
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,400,,15988,,0.00094893,-0.00023808,0.96725,0.45775,0.0000625469,0.0009810597
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,450,,16501,,0.0010635,-0.00024868,0.93642,0.61066,0.0000606024,0.0011357083
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,500,,17014,,0.001178,-0.00025927,0.90559,0.76357,0.0000587751,0.0013008094
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,550,,17527,,0.0012925,-0.00026986,0.87477,0.91647,0.0000570548,0.0014775312
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,600,,18039,,0.001407,-0.00028046,0.84394,1.0694,0.0000554354,0.0016671801
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,650,,18552,,0.0015215,-0.00029105,0.81312,1.2223,0.0000539025,0.0018711875
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,700,,19065,,0.0016361,-0.00030164,0.78229,1.3752,0.0000524521,0.0020914239
21294,10.1073/pnas.1711725114,19701,FS1(a),24318,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,Mg3.1Zn0.1Sb1.5Bi0.49Te0.01,750,,19578,,0.0017506,-0.00031224,0.75147,1.5281,0.0000510777,0.0023295674
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,350,,49510,,0.0016735,,1.0804,0.54947,0.0000201979,0.0015489633
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,400,,46585,,0.0016945,,1.0534,0.66376,0.0000214661,0.0016086007
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,450,,43660,,0.0017156,,1.0264,0.77805,0.0000229043,0.0016714731
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,500,,40735,,0.0017367,,0.99937,0.89235,0.0000245489,0.0017377948
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,550,,37810,,0.0017577,,0.97235,1.0066,0.000026448,0.0018076824
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,600,,34885,,0.0017788,,0.94533,1.1209,0.0000286656,0.001881671
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,650,,31959,,0.0017998,,0.91832,1.2352,0.0000312901,0.0019598833
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,700,,29034,,0.0018209,,0.8913,1.3495,0.0000344424,0.0020429709
21294,10.1073/pnas.1711725114,19706,FS4(a),24319,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,Mg3.175Co0.025Sb1.5Bi0.49Te0.01 ,750,,26109,,0.0018419,,0.86428,1.4638,0.000038301,0.0021311381
