sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27912,10.1002/adfm.201606361,25079,7(a),31222,Ba 8 Ga 16-x Cu x Sn 30,Ba8Ga16-xCuxSn30,550,,,,,,,0.73173,,,
27912,10.1002/adfm.201606361,25079,7(a),31223,Zn4Sb3,Zn4Sb3,450,,,,,,,0.64536,,,
27912,10.1002/adfm.201606361,25079,7(a),31223,Zn4Sb3,Zn4Sb3,500,,,,,,,0.77046,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,450,,,,,,,0.44566,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,500,,,,,,,0.58676,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,550,,,,,,,0.72785,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,600,,,,,,,0.86894,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,650,,,,,,,1.01,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,450,,,,,,,0.47071,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,500,,,,,,,0.58291,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,550,,,,,,,0.69511,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,600,,,,,,,0.80732,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,650,,,,,,,0.91952,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,700,,,,,,,1.0317,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,450,,,,,,,0.4198,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,500,,,,,,,0.50597,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,550,,,,,,,0.59214,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,600,,,,,,,0.67832,,,
