sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,850,,209640,0.00015983,5.3576,0.8635,,0.0000047701,0.0053553856,0.0009995867
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,900,,183910,0.00016776,5.1803,0.93221,,0.0000054374,0.0051758559,0.0009991421
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,950,,158190,0.0001757,5.0029,1.0009,,0.0000063215,0.0048834028,0.0009761144
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,1000,,132470,0.00018363,4.8256,1.0696,,0.0000075489,0.0044668853,0.0009256642
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,1050,,106750,0.00019156,4.6482,1.1384,,0.0000093677,0.0039172162,0.0008427383
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,1100,,81023,0.00019949,4.4709,1.2071,,0.0000123422,0.0032244124,0.0007211998
27925,10.1002/advs.201600035,25415,3a,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,1150,,55300,,,1.2758,,0.0000180832,,
27925,10.1002/advs.201600035,25416,3c,31640,Fe1+xNb0.75Ti0.25Sb_ x=0.00,FeNb0.75Ti0.25Sb,300,,,0.000072573,7.3085,0.1076,,,,
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,350,,376860,0.00008406,5.7945,0.15909,,0.0000026535,0.0026629243,0.0004595607
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,400,,357130,0.000094613,5.682,0.22858,,0.0000028001,0.003196892,0.000562635
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,450,,337400,0.00010502,5.5695,0.29807,,0.0000029638,0.0037212522,0.0006681483
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,500,,317670,0.00011522,5.457,0.36757,,0.0000031479,0.0042172752,0.0007728194
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,550,,297930,0.00012517,5.3444,0.43706,,0.0000033565,0.0046678269,0.0008734052
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,600,,278200,0.0001348,5.2319,0.50655,,0.0000035945,0.0050551833,0.0009662232
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,650,,258470,0.00014406,5.1194,0.57604,,0.0000038689,0.0053641012,0.0010477988
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,700,,238740,0.00015291,5.0069,0.64553,,0.0000041887,0.0055820917,0.0011148798
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,750,,219010,0.00016127,4.8944,0.71503,,0.000004566,0.0056960149,0.0011637821
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,800,,199270,0.00016911,4.7819,0.78452,,0.0000050183,0.0056987617,0.0011917359
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,850,,179540,0.00017637,4.6694,0.85401,,0.0000055698,0.0055848389,0.0011960507
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,900,,159810,0.00018299,4.5569,0.9235,,0.0000062574,0.0053512922,0.0011743273
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,950,,140080,0.00018892,4.4444,0.99299,,0.0000071388,0.0049995626,0.0011249128
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,1000,,120350,0.00019411,4.3319,1.0625,,0.0000083091,0.0045346306,0.0010467995
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,1050,,100610,0.0001985,4.2194,1.132,,0.0000099394,0.0039642604,0.0009395318
27925,10.1002/advs.201600035,25415,3a,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,1100,,80882,0.00020204,4.1069,1.2015,,0.0000123637,0.0033016163,0.0008039193
27925,10.1002/advs.201600035,25416,3c,31641,Fe1+xNb0.75Ti0.25Sb_ x=0.03,Fe1.03Nb0.75Ti0.25Sb,1150,,,0.00020469,3.9944,1.271,,,,
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,350,,326120,0.000096053,5.1675,0.17446,,0.0000030664,0.0030088414,0.0005822625
