sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,850,,49416,0.00023121,3.5732,0.66293,0.0000202364,0.0026416837,0.0007393047
5936,10.1002/aenm.201400600,25508,2a,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,900,,43644,0.0002382,,0.70391,0.0000229127,0.0024763274,
5936,10.1002/aenm.201400600,25509,2b,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,300,0.00069884,112910,0.00015432,,,0.0000088566,0.0026889135,
5936,10.1002/aenm.201400600,25510,2C,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,50,0.00098256,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,100,0.00092581,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,150,0.00086907,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,200,0.00081233,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31759,Fe(V0.6Nb0.4)1−xTixSb_ x=0.14,Fe(V0.6Nb0.4)0.86Ti0.14Sb,250,0.00075558,,,,,,,
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,350,0.00066643,119140,0.00015748,3.9195,0.26744,0.0000083935,0.0029546661,0.0007538375
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,400,0.00060972,112770,0.00016433,3.8831,0.30961,0.0000088676,0.0030452804,0.0007842395
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,450,0.000553,106390,0.00017118,3.8468,0.35178,0.0000093994,0.0031175028,0.0008104146
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,500,0.00049628,100010,0.00017803,3.8104,0.39395,0.000009999,0.003169785,0.0008318772
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,550,0.00043956,93639,0.00018488,3.7741,0.43612,0.0000106793,0.0032006386,0.0008480535
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,600,0.00038284,87264,0.00019173,3.7377,0.47829,0.0000114595,0.0032078589,0.0008582441
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,650,0.00032612,80888,0.00019858,3.7014,0.52046,0.0000123628,0.0031897387,0.0008617655
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,700,0.00026941,74513,0.00020543,3.665,0.56263,0.0000134205,0.0031445592,0.0008579971
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,750,0.00021269,68137,0.00021228,3.6287,0.6048,0.0000146763,0.0030704439,0.0008461553
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,800,0.00015597,61761,0.00021914,3.5923,0.64697,0.0000161914,0.0029659077,0.0008256292
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,850,,55386,0.00022599,3.556,0.68914,0.0000180551,0.002828645,0.000795457
5936,10.1002/aenm.201400600,25508,2a,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,900,,49010,,,0.73131,0.000020404,,
5936,10.1002/aenm.201400600,25509,2b,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,300,0.00072315,125520,0.00015062,3.9558,0.21596,0.0000079669,0.002847595,0.0007198531
5936,10.1002/aenm.201400600,25510,2C,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,50,0.0010067,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,100,0.00095003,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,150,0.00089331,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,200,0.00083659,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31760,Fe(V0.6Nb0.4)1−xTixSb_ x=0.16,Fe(V0.6Nb0.4)0.84Ti0.16Sb,250,0.00077987,,,,,,,
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,350,0.00058608,105940,0.00016746,3.5732,0.29604,0.0000094393,0.0029708597,0.0008314283
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,400,0.00052787,100200,0.00017331,3.5317,0.34938,0.00000998,0.0030096429,0.0008521797
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,450,0.00046967,94465,0.00017915,3.4901,0.40272,0.0000105859,0.003031828,0.0008686937
