sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,Electrical conductivity,Power factor
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,700,,0.0000088842,,,0.000067022,0.16508,112559.3750703496,0.0005056109
27920,10.1016/j.jallcom.2018.04.214,25326,4(a),31558,Pristine Cu4Mn2Te4,undefined,750,,0.00000936,,,0.000072117,0.18678,106837.6068376068,0.0005556476
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,9.5e+26,,0.00091216,,0.000039534,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1e+27,,0.00089486,,0.000038635,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.05e+27,,0.00087756,,0.000037737,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.1e+27,,0.00086026,,0.000036839,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.15e+27,,0.00084296,,0.000035941,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.2e+27,,0.00082566,,0.000035043,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.25e+27,,0.00080836,,0.000034144,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.3e+27,,0.00079106,,0.000033246,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.35e+27,,0.00077375,,0.000032348,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.4e+27,,0.00075645,,0.00003145,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.45e+27,,0.00073915,,0.000030551,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.5e+27,,0.00072185,,0.000029653,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32920,300 K,undefined,,1.55e+27,,0.00070455,,0.000028755,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.45e+27,,0.00041304,,0.000068473,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.5e+27,,0.00041481,,0.000067899,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.55e+27,,0.00041657,,0.000067324,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.6e+27,,0.00041833,,0.00006675,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.65e+27,,0.00042009,,0.000066175,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.7e+27,,0.00042185,,0.000065601,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.75e+27,,0.00042362,,0.000065027,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.8e+27,,0.00042538,,0.000064452,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.85e+27,,0.00042714,,0.000063878,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.9e+27,,0.0004289,,0.000063304,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32921,550 K,undefined,,1.95e+27,,0.00043066,,0.000062729,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,1.85e+27,,0.00018013,,0.0001151,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,1.9e+27,,0.00018159,,0.000114,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,1.95e+27,,0.00018306,,0.00011289,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2e+27,,0.00018453,,0.00011178,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.05e+27,,0.00018599,,0.00011068,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.1e+27,,0.00018746,,0.00010957,,,
