sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.85e+26,,0.00015206,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.9e+26,,0.0001517,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,4.95e+26,,0.00015135,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5e+26,,0.000151,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.05e+26,,0.00015065,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.1e+26,,0.00015029,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.15e+26,,0.00014994,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.2e+26,,0.00014959,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.25e+26,,0.00014923,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.3e+26,,0.00014888,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.35e+26,,0.00014853,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.4e+26,,0.00014818,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.45e+26,,0.00014782,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.5e+26,,0.00014747,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.55e+26,,0.00014712,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.6e+26,,0.00014676,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.65e+26,,0.00014641,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.7e+26,,0.00014606,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.75e+26,,0.0001457,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.8e+26,,0.00014535,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.85e+26,,0.000145,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.9e+26,,0.00014465,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,5.95e+26,,0.00014429,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6e+26,,0.00014394,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.05e+26,,0.00014359,,,,,
