sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,400,1.6738e+27,169400,0.0000059032,0.0006187,0.72618,0.000044518,,0.061784,0.0003357258,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,450,1.7351e+27,143650,0.0000069612,0.00056519,0.66583,0.000051892,,0.1096,0.0003868178,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,500,1.7965e+27,124700,0.0000080193,0.00051169,0.60548,0.000059361,,0.15741,0.0004394089,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,550,1.8578e+27,110160,0.0000090773,0.00045818,0.54513,0.000066925,,0.20522,0.0004934018,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,600,1.9191e+27,98668,0.000010135,0.00040468,0.48478,0.000074584,,0.25303,0.0005488677,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,650,1.9805e+27,89342,0.000011193,0.00035117,0.42443,0.000082337,,0.30085,0.0006056835,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,700,2.0418e+27,81626,0.000012251,0.00029766,0.36408,0.000090186,,0.34866,0.0006639063,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,750,2.1031e+27,75137,0.000013309,0.00024416,0.30374,0.00009813,,0.39647,0.0007235315,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,800,2.1645e+27,69599,0.000014368,0.00019065,0.24339,0.00010617,,0.44428,0.0007845247,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31550,Cu4Mn2Te4,undefined,850,,,,,0.18304,,,0.49209,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,350,1.4594e+27,184570,0.0000054181,0.00065495,0.73101,0.000035607,,0.014698,0.0002340086,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,400,1.5923e+27,159350,0.0000062753,0.00059901,0.68121,0.00004236,,0.054187,0.0002859328,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,450,1.7252e+27,140200,0.0000071326,0.00054308,0.6314,0.000049114,,0.093676,0.0003381883,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,500,1.8581e+27,125160,0.0000079898,0.00048714,0.58159,0.000055868,,0.13316,0.0003906536,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,550,1.991e+27,113030,0.0000088471,0.00043121,0.53179,0.000062622,,0.17265,0.0004432488,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,600,2.124e+27,103050,0.0000097043,0.00037527,0.48198,0.000069375,,0.21214,0.0004959684,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,650,2.2569e+27,94679,0.000010562,0.00031934,0.43218,0.000076129,,0.25163,0.0005487239,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,700,2.3898e+27,87573,0.000011419,0.0002634,0.38237,0.000082883,,0.29112,0.0006015908,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,750,2.5227e+27,81460,0.000012276,0.00020747,0.33256,0.000089636,,0.33061,0.0006544995,
27920,10.1016/j.jallcom.2018.04.214,25324,3(c),31551,Cu4.1Mn2Te4,undefined,800,,76144,0.000013133,0.00015154,0.28276,0.00009639,,0.3701,0.0007074563,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31551,Cu4.1Mn2Te4,undefined,300,,,,,0.78082,,,-0.024791,,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31551,Cu4.1Mn2Te4,undefined,850,,,,,0.23295,,,0.40959,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,350,1.351e+27,182860,0.0000054688,0.0005554,0.6833,0.000034483,,0.006149,0.0002174347,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,400,1.4618e+27,155250,0.0000064413,0.00051265,0.64305,0.000041969,,0.050175,0.0002734569,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,450,1.5726e+27,134880,0.0000074138,0.00046989,0.60279,0.000049454,,0.0942,0.0003298758,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,500,1.6835e+27,119240,0.0000083864,0.00042714,0.56254,0.000056939,,0.13823,0.000386582,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,550,1.7943e+27,106850,0.0000093589,0.00038438,0.52228,0.000064425,,0.18225,0.0004434895,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,600,1.9051e+27,96796,0.000010331,0.00034163,0.48203,0.00007191,,0.22628,0.0005005368,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,650,2.0159e+27,88464,0.000011304,0.00029887,0.44177,0.000079395,,0.2703,0.0005576387,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,700,2.1267e+27,81453,0.000012277,0.00025611,0.40151,0.000086881,,0.31433,0.0006148323,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,750,2.2375e+27,75477,0.000013249,0.00021336,0.36126,0.000094366,,0.35835,0.0006721183,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,800,2.3484e+27,70314,0.000014222,0.0001706,0.321,0.00010185,,0.40238,0.0007293968,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31552,Cu4.3Mn2Te4,undefined,300,,,,,0.72356,,,-0.037877,,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31552,Cu4.3Mn2Te4,undefined,850,,,,,0.28075,,,,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,350,1.1332e+27,141010,0.0000070917,0.00066854,1.1442,0.000048905,,0.024022,0.0003372535,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,400,1.2146e+27,115620,0.0000086489,0.00060525,1.0615,0.000056676,,0.073788,0.000371391,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,450,1.2961e+27,97982,0.000010206,0.00054196,0.97875,0.000065042,,0.12355,0.0004145091,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,500,1.3776e+27,85012,0.000011763,0.00047867,0.89601,0.000073681,,0.17332,0.0004615208,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,550,1.459e+27,75069,0.000013321,0.00041538,0.81328,0.000082346,,0.22308,0.0005090327,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,600,1.5405e+27,67213,0.000014878,0.00035209,0.73054,0.000090863,,0.27285,0.0005549162,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,650,1.622e+27,60846,0.000016435,0.0002888,0.6478,0.000099132,,0.32262,0.000597943,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,700,1.7034e+27,55580,0.000017992,0.00022551,0.56506,0.00010713,,0.37238,0.0006378826,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,750,1.7849e+27,51154,0.000019549,0.00016222,0.48232,0.00011489,,0.42215,0.0006752181,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,800,1.8664e+27,47378,0.000021107,0.000098927,0.39958,0.00012255,,0.47191,0.0007115466,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,850,,,,,0.31685,,,,,
27920,10.1016/j.jallcom.2018.04.214,25331,6(a),31553,Cu3.7Zn0.3Mn2Te4,undefined,300,,,,,,,,-0.025743,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,350,9.7101e+26,167510,0.0000059699,0.00087077,0.80031,0.000036866,,0.0073428,0.0002276632,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,400,1.0945e+27,138700,0.0000072096,0.00078682,0.74803,0.000044747,,0.053281,0.0002777182,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,450,1.218e+27,118350,0.0000084492,0.00070287,0.69575,0.000052628,,0.09922,0.0003277948,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,500,1.3415e+27,103210,0.0000096888,0.00061892,0.64346,0.000060509,,0.14516,0.0003778868,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,550,1.4651e+27,91508,0.000010928,0.00053497,0.59118,0.00006839,,0.1911,0.0004280005,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,600,1.5886e+27,82183,0.000012168,0.00045101,0.5389,0.000076271,,0.23704,0.0004780803,
