sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall concentration,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,335.5,44617,22313000000000,-0.0002302,0.84146,0.84148,0.000022413,0.0023643458,0.0028098137
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,336,44582,22345000000000,-0.00023015,0.84223,0.84111,0.0000224306,0.002361465,0.0028038243
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,336.5,44547,22378000000000,-0.00023009,0.84301,0.84073,0.0000224482,0.0023583809,0.0027975717
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,337,44512,22410000000000,-0.00023003,0.84378,0.84036,0.0000224659,0.0023552991,0.0027913664
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,337.5,44477,22442000000000,-0.00022997,0.84456,0.83998,0.0000224835,0.0023522196,0.002785142
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,338,44442,22474000000000,-0.00022992,0.84534,0.83961,0.0000225012,0.0023493466,0.0027791736
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,338.5,44407,22507000000000,-0.00022986,0.84611,0.83923,0.000022519,0.0023462714,0.0027730098
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,339,44372,22539000000000,-0.0002298,0.84689,0.83886,0.0000225367,0.0023431984,0.0027668273
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,339.5,44336,22571000000000,-0.00022974,0.84767,0.83848,0.000022555,0.0023400748,0.0027605965
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,340,44301,22603000000000,-0.00022969,0.84844,0.83811,0.0000225729,0.0023372098,0.0027547143
