sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,600,,0.00051547,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,650,,0.00031248,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31882,BixGe1−xTe_ 9.5e20,undefined,700,,0.00010949,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,350,,0.049764,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,400,,0.045708,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,450,,0.041651,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,500,,0.037595,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,550,,0.033539,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,600,,0.029483,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,650,,0.025427,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,700,,0.02137,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31883,SnTe,undefined,750,,0.017314,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,300,,0.018243,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,350,,0.015974,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,400,,0.013705,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,450,,0.011436,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,500,,0.0091675,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,550,,0.0068986,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,600,,0.0046296,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,650,,0.0023607,,,,,,
18654,10.1038/am.2017.8,25601,3(b),31884,PbTe,undefined,700,,0.000091747,,,,,,
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,350,0.0000018121,,0.000040633,3.9086,0.077896,551845.9246178467,0.0009111201,0.0002331065
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,400,0.0000025483,,0.000055836,3.6568,0.21881,392418.4750618059,0.0012234269,0.0003345622
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,450,0.0000032845,,0.00007104,3.4049,0.35972,304460.3440401888,0.0015365144,0.0004512657
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,500,0.0000040206,,0.000086243,3.1531,0.50064,248719.096652241,0.0018499366,0.0005867041
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,550,0.0000047568,,0.00010145,2.9013,0.64155,210225.3615876219,0.002163661,0.0007457557
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,600,0.0000054929,,0.00011665,2.6494,0.78247,182053.1959438548,0.0024772383,0.0009350186
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,650,0.0000062291,,0.00013185,2.3976,0.92338,160536.8351768313,0.0027908402,0.0011640141
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,700,0.0000069653,,0.00014706,2.1458,1.0643,143568.8340774985,0.003104912,0.0014469718
18654,10.1038/am.2017.8,25603,5(a),31885,BixGe1−xTe_ 5.7e20,undefined,750,0.0000077014,,0.00016226,1.8939,1.2052,129846.5214116914,0.0034186392,0.001805079
18654,10.1038/am.2017.8,25605,5(c),31885,BixGe1−xTe_ 5.7e20,undefined,800,,,,1.6421,,,,
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,350,0.0000051216,,0.000081708,2.2834,0.25631,195251.4839112777,0.0013035374,0.0005708756
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,400,0.0000064953,,0.000098498,2.1765,0.39606,153957.4769448678,0.0014936733,0.000686273
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,450,0.000007869,,0.00011529,2.0696,0.53581,127080.9505655102,0.0016891326,0.0008161638
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,500,0.0000092427,,0.00013208,1.9627,0.67555,108193.4932433163,0.0018874492,0.0009616595
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,550,0.000010616,,0.00014887,1.8558,0.8153,94197.437829691,0.0020876297,0.0011249217
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,600,0.00001199,,0.00016566,1.7489,0.95505,83402.8356964137,0.0022888437,0.0013087333
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,650,0.000013364,,0.00018245,1.642,1.0948,74827.895839569,0.0024908712,0.0015169739
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,700,0.000014738,,0.00019924,1.5351,1.2345,67851.8116433709,0.0026934847,0.0017545989
18654,10.1038/am.2017.8,25603,5(a),31886,BixGe1−xTe_ 3.2e20,undefined,750,0.000016111,,0.00021603,1.4282,1.3743,62069.3935820247,0.0028967141,0.0020282272
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,350,0.0000091514,,0.00012855,1.4532,0.49715,109272.8981358044,0.0018057458,0.0012425997
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,400,0.000010548,,0.00014301,1.4311,0.63733,94804.7023132347,0.0019389325,0.0013548547
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,450,0.000011944,,0.00015748,1.409,0.77751,83724.0455458808,0.0020763522,0.0014736353
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,500,0.000013341,,0.00017194,1.3869,0.91769,74956.899782625,0.0022159781,0.0015977923
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,550,0.000014737,,0.0001864,1.3648,1.0579,67856.4158241162,0.0023576685,0.0017274827
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,600,0.000016134,,0.00020087,1.3427,1.1981,61980.909879757,0.0025008527,0.001862555
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,650,0.00001753,,0.00021533,1.3206,1.3382,57045.0656018254,0.0026450091,0.0020028843
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,700,0.000018927,,0.0002298,1.2985,1.4784,52834.5749458446,0.0027900903,0.0021487026
18654,10.1038/am.2017.8,25603,5(a),31887,BixGe1−xTe_ 1.65e20,undefined,750,0.000020323,,0.00024426,1.2764,1.6186,49205.3338581902,0.0029357353,0.002300012
18654,10.1038/am.2017.8,25605,5(c),31887,BixGe1−xTe_ 1.65e20,undefined,800,,,,1.2543,,,,
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,350,0.000010907,,0.00013738,1.294,0.51438,91684.2394792335,0.0017303809,0.0013372341
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,400,0.000012084,,0.00015106,1.2855,0.6692,82754.0549486925,0.001888375,0.0014689809
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,450,0.000013261,,0.00016475,1.2769,0.82402,75409.094336777,0.0020467961,0.0016029415
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,500,0.000014438,,0.00017843,1.2684,0.97884,69261.6705914947,0.0022051022,0.0017384911
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,550,0.000015615,,0.00019211,1.2599,1.1337,64040.986231188,0.0023635128,0.0018759527
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,600,0.000016792,,0.0002058,1.2513,1.2885,59552.1676989042,0.0025222511,0.0020157045
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,650,0.000017969,,0.00021948,1.2428,1.4433,55651.3996327008,0.0026808098,0.0021570725
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,700,0.000019146,,0.00023316,1.2343,1.5981,52230.2308576204,0.0028394226,0.0023004315
18654,10.1038/am.2017.8,25603,5(a),31888,BixGe1−xTe_ 1.37e20,undefined,750,0.000020323,,0.00024685,1.2258,1.7529,49205.3338581902,0.0029983232,0.0024460134
18654,10.1038/am.2017.8,25605,5(c),31888,BixGe1−xTe_ 1.37e20,undefined,800,,,,1.2172,,,,
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,350,0.000026044,,0.0001768,0.98391,0.44919,38396.5596682537,0.0012002089,0.001219836
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,400,0.00002612,,0.00018576,1.0226,0.5628,38284.8392036753,0.0013210864,0.0012918897
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,450,0.000026196,,0.00019471,1.0612,0.6764,38173.7669873263,0.0014472432,0.0013637799
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,500,0.000026272,,0.00020367,1.0999,0.79,38063.3373934227,0.0015789231,0.0014355152
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,550,0.000026348,,0.00021262,1.1386,0.90361,37953.54486109,0.0017157759,0.0015069172
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,600,0.000026424,,0.00022157,1.1772,1.0172,37844.3838934302,0.0018579044,0.0015782402
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,650,0.0000265,,0.00023053,1.2159,1.1308,37735.8490566038,0.002005437,0.0016493437
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,700,0.000026576,,0.00023948,1.2546,1.2444,37627.9349789284,0.0021579873,0.00172006
18654,10.1038/am.2017.8,25603,5(a),31889,BixGe1−xTe_ 1.05e20,undefined,750,0.000026653,,0.00024844,1.2932,1.358,37519.2286046599,0.0023157781,0.0017907347
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,350,0.000051389,,0.00019985,0.88555,0.32271,19459.4173850435,0.0007772096,0.0008776575
