sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
14602,10.1038/ncomms12167,1888,3(d),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,666.6666666667,0.0015,,,0.98223,,,,,,
14602,10.1038/ncomms12167,1888,3(d),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,500,0.002,,,1.3551,,,,,,
14602,10.1038/ncomms12167,1888,3(d),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,400,0.0025,,,1.8074,,,,,,
14602,10.1038/ncomms12167,1888,3(d),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,333.3333333333,0.003,,,2.2684,,,,,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,300,0.0033333,,,,,,,0.092166,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,350,0.0028571,,,,,,,0.20582,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,400,0.0025,,,,,,,0.34754,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,450,0.0022222,,,,,,,0.5182,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,500,0.002,,,,,,,0.7095,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,550,0.0018182,,,,,,,0.90714,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,600,0.0016667,,,,,,,1.094,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,650,0.0015385,,,,,,,1.2534,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,700,0.0014286,,,,,,,1.3722,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,750,0.0013333,,,,,,,1.444,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,800,0.00125,,,,,,,1.4723,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,850,0.0011765,,,,,,,1.474,,
14602,10.1038/ncomms12167,1889,5(a),2841,Pb0.98Na0.02Te,Pb0.98Na0.02Te,900,0.0011111,,,,,,,1.482,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,300,0.0033333,,,,,,,0.2013,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,350,0.0028571,,,,,,,0.36881,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,400,0.0025,,,,,,,0.54684,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,450,0.0022222,,,,,,,0.75628,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,500,0.002,,,,,,,1.0014,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,550,0.0018182,,,,,,,1.2738,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,600,0.0016667,,,,,,,1.5568,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,650,0.0015385,,,,,,,1.8294,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,700,0.0014286,,,,,,,2.0704,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,750,0.0013333,,,,,,,2.2624,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,800,0.00125,,,,,,,2.3961,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,850,0.0011765,,,,,,,2.4745,,
14602,10.1038/ncomms12167,1889,5(a),2842,this study,Pb0.9Na0.02TeSr0.08,900,0.0011111,,,,,,,2.5166,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,350,0.0028571,,,,,,,0.24937,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,400,0.0025,,,,,,,0.39972,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,450,0.0022222,,,,,,,0.57869,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,500,0.002,,,,,,,0.77796,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,550,0.0018182,,,,,,,0.99236,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,600,0.0016667,,,,,,,1.2179,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,650,0.0015385,,,,,,,1.4497,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,700,0.0014286,,,,,,,1.6804,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,750,0.0013333,,,,,,,1.8977,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,800,0.00125,,,,,,,2.0829,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,850,0.0011765,,,,,,,2.2086,,
14602,10.1038/ncomms12167,1889,5(a),2843,ref.8,Pb0.94Na0.02TeSr0.04,900,0.0011111,,,,,,,2.2369,,
