sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,357.5,0.026655,0.0000067332,0.000077626,2.4381,0.19211,148517.7924315333,0.0008949379,0.0003670637
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,358,0.02663,0.0000067431,0.000077746,2.4334,0.19311,148299.7434414439,0.000896389,0.0003683689
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,358.5,0.026606,0.0000067531,0.000077866,2.4288,0.1941,148080.1409722942,0.0008978268,0.0003696586
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,359,0.026582,0.0000067631,0.000077987,2.4242,0.1951,147861.1879167837,0.0008992876,0.0003709626
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,359.5,0.026558,0.0000067731,0.00007811,2.4195,0.19609,147642.8813984734,0.0009007946,0.0003723061
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,360,0.026534,0.0000067832,0.000078233,2.415,0.19709,147423.045170421,0.0009022883,0.0003736184
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,360.5,0.02651,0.0000067934,0.000078357,2.4104,0.19809,147201.6957635352,0.0009037918,0.0003749551
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,361,0.026485,0.0000068036,0.000078482,2.4058,0.19908,146981.0100535011,0.0009053184,0.0003763066
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,361.5,0.026461,0.0000068139,0.000078608,2.4013,0.20008,146758.8312126682,0.0009068548,0.0003776516
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,362,0.026437,0.0000068243,0.000078735,2.3968,0.20108,146535.1757689433,0.0009084009,0.0003790057
