sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Resistivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,1.95e+26,,,,,0.00011775,,,,,0.3956,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2e+26,,,,,0.00011742,,,,,0.39628,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.05e+26,,,,,0.0001171,,,,,0.39695,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.1e+26,,,,,0.00011677,,,,,0.39763,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.15e+26,,,,,0.00011645,,,,,0.39831,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.2e+26,,,,,0.00011612,,,,,0.39898,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.25e+26,,,,,0.0001158,,,,,0.39966,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.3e+26,,,,,0.00011547,,,,,0.40033,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.35e+26,,,,,0.00011514,,,,,0.40101,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.4e+26,,,,,0.00011482,,,,,0.40169,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.45e+26,,,,,0.00011449,,,,,0.40236,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.5e+26,,,,,0.00011417,,,,,0.40304,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.55e+26,,,,,0.00011384,,,,,0.40372,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.6e+26,,,,,0.00011352,,,0.00021618,,0.40439,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.65e+26,,,,,0.00011319,,,0.00021585,,0.40507,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.7e+26,,,,,0.00011287,,,0.00021551,,0.40574,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.75e+26,,,,,0.00011254,,,0.00021518,,0.40642,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.8e+26,,,,,0.00011222,,,0.00021484,,0.4071,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.85e+26,,,,,0.00011189,,,0.00021451,,0.40777,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.9e+26,,,,,0.00011156,,,0.00021418,,0.40845,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,2.95e+26,,,,,0.00011124,,,0.00021384,,0.40912,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3e+26,,,,,0.00011091,,,0.00021351,,0.4098,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.05e+26,,,,,0.00011059,,,0.00021317,,0.41048,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.1e+26,,,,,0.00011026,,,0.00021284,,0.41115,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.15e+26,,,,,0.00010994,,,0.0002125,,0.41183,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.2e+26,,,,,0.00010961,,,0.00021217,,0.41251,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.25e+26,,,,,0.00010929,,,0.00021183,,0.41318,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.3e+26,,,,,0.00010896,,,0.0002115,,0.41386,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.35e+26,,,,,0.00010863,,,0.00021116,,0.41453,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.4e+26,,,,,0.00010831,,,0.00021083,,0.41521,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.45e+26,,,,,0.00010798,,,0.00021049,,0.41589,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.5e+26,,,,,0.00010766,,,0.00021016,,0.41656,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.55e+26,,,,,0.00010733,,,0.00020982,,0.41724,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.6e+26,,,,,0.00010701,,,0.00020949,,0.41791,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.65e+26,,,,,0.00010668,,,0.00020915,,0.41859,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.7e+26,,,,,0.00010636,,,0.00020882,,0.41927,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.75e+26,,,,,0.00010603,,,0.00020848,,0.41994,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.8e+26,,,,,0.00010571,,,0.00020815,,0.42062,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.85e+26,,,,,0.00010538,,,0.00020781,,0.42129,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.9e+26,,,,,0.00010505,,,0.00020748,,0.42197,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,3.95e+26,,,,,0.00010473,,,0.00020715,,0.42265,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4e+26,,,,,0.0001044,,,0.00020681,,0.42332,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.05e+26,,,,,0.00010408,,,0.00020648,,0.424,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.1e+26,,,,,0.00010375,,,0.00020614,,0.42468,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.15e+26,,,,,0.00010343,,,0.00020581,,0.42535,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.2e+26,,,,,0.0001031,,,0.00020547,,0.42603,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.25e+26,,,,,0.00010278,,,0.00020514,,0.4267,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.3e+26,,,,,0.00010245,,,0.0002048,,0.42738,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.35e+26,,,,,0.00010213,,,0.00020447,,0.42806,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.4e+26,,,,,0.0001018,,,0.00020413,,0.42873,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.45e+26,,,,,0.00010147,,,0.0002038,,0.42941,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.5e+26,,,,,0.00010115,,,0.00020346,,0.43008,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.55e+26,,,,,0.00010082,,,0.00020313,,0.43076,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.6e+26,,,,,0.0001005,,,0.00020279,,0.43144,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.65e+26,,,,,0.00010017,,,0.00020246,,0.43211,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.7e+26,,,,,0.000099847,,,0.00020212,,0.43279,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.75e+26,,,,,0.000099521,,,0.00020179,,0.43347,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.8e+26,,,,,0.000099196,,,0.00020145,,0.43414,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.85e+26,,,,,0.00009887,,,0.00020112,,0.43482,,
21449,10.15541/jim20180249,26236,6(c),32905,700 K,undefined,,4.9e+26,,,,,0.000098545,,,0.00020079,,0.43549,,
